"Term Permalink","Term Name","Parent Name","Parent Slug",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
http://transamericanautoparts.local/category/uncategorized/,Uncategorized,,,,,,,,,,,,,,,,
http://transamericanautoparts.local/category/suspension/,Suspension,,,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/lift-kits/,"Lift Kits",Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/nitro-kits/,"Nitro Kits",Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/level-kits/,"Level Kits",Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/shocks/,Shocks,Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/upper-control-arms/,"Upper Control Arms",Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/accessories/,Accessories,Suspension,suspension,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/wheels/,Wheels,,,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/alloy-wheels/,"Alloy Wheels",Wheels,wheels,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/steel-wheels/,"Steel Wheels",Wheels,wheels,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/accessories-wheels/,Accessories,Wheels,wheels,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/tires/,Tires,,,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/a-t-sport/,"A/T Sport",Tires,tires,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/xtreme-mt2/,"XTREME MT2",Tires,tires,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/accessories-tires/,Accessories,Tires,tires,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/led-lighting/,"LED Lighting",,,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/2-5-pro-series-vst/,"2.5 Pro Series VST",Shocks,shocks,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/2-0-pro-series-m/,"2.0 Pro Series - M",Shocks,shocks,,,,,,,,,,,,,0,
http://transamericanautoparts.local/category/pro-series/,"Pro Series",Shocks,shocks,,,,,,,,,,,,,0,
