"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
1,http://transamericanautoparts.local/category/uncategorized/,Uncategorized,uncategorized,,0,,,1,,,,,,,,,,,,,,,
5,http://transamericanautoparts.local/category/suspension/,Suspension,suspension,,0,,,1,,,,,,,,,,,,,,,
6,http://transamericanautoparts.local/category/lift-kits/,"Lift Kits",lift-kits,,5,Suspension,suspension,1,,,,,,,,,,,,,,,
33,http://transamericanautoparts.local/category/air-tank/,"Air Tank",air-tank,,306,"Air Compressors, Air Tanks &amp; Air Accessories",air-compressors-air-tanks-air-accessories,0,,,,4wp-us-C89,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC567,,,,,,,,,
34,http://transamericanautoparts.local/category/compressed-air-tank-accessories/,"Compressed Air Tank Accessories",compressed-air-tank-accessories,,306,"Air Compressors, Air Tanks &amp; Air Accessories",air-compressors-air-tanks-air-accessories,0,,,,4wp-us-C89,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC569,,,,,,,,,
35,http://transamericanautoparts.local/category/air-compressors/,"Air Compressors",air-compressors,,306,"Air Compressors, Air Tanks &amp; Air Accessories",air-compressors-air-tanks-air-accessories,0,,,,4wp-us-C89,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC566,,,,,,,,,
36,http://transamericanautoparts.local/category/air-compressor-accessories/,"Air Compressor Accessories",air-compressor-accessories,,306,"Air Compressors, Air Tanks &amp; Air Accessories",air-compressors-air-tanks-air-accessories,0,,,,4wp-us-C89,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC568,,,,,,,,,
37,http://transamericanautoparts.local/category/accessories/,Accessories,accessories,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC507,,,,,,,,0,87
38,http://transamericanautoparts.local/category/apparel/,Apparel,apparel,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC416,,,,,,,,0,88
39,http://transamericanautoparts.local/category/gift-cards-and-instant-gift-certificates/,"Gift Cards and Instant Gift Certificates",gift-cards-and-instant-gift-certificates,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC191,,,,,,,,0,87
40,http://transamericanautoparts.local/category/books-manuals-and-calendars/,"Books, Manuals and Calendars",books-manuals-and-calendars,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC434,,,,,,,,0,86
41,http://transamericanautoparts.local/category/off-road-dvds-videos/,"Off Road DVDs &amp; Videos",off-road-dvds-videos,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-14519,,,,,,,,0,88
42,http://transamericanautoparts.local/category/rc-trucks-collectibles/,"RC Trucks &amp; Collectibles",rc-trucks-collectibles,,307,"Apparel, Books &amp; DVDs",apparel-books-dvds,0,,,,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-14594,,,,,,,,0,90
43,http://transamericanautoparts.local/category/skid-plates/,"Skid Plates",skid-plates,,308,"Armor &amp; Protection",armor-protection,0,,,,4wp-us-C79,"Armor & Protection",4wp-us-SC467,,,,,,,,,
44,http://transamericanautoparts.local/category/rock-sliders-and-guards/,"Rock Sliders and Guards",rock-sliders-and-guards,,308,"Armor &amp; Protection",armor-protection,0,,,,4wp-us-C79,"Armor & Protection",4wp-us-SC466,,,,,,,,,
45,http://transamericanautoparts.local/category/body-protection/,"Body Protection",body-protection,,308,"Armor &amp; Protection",armor-protection,0,,,,4wp-us-C79,"Armor & Protection",4wp-us-SC468,,,,,,,,,
46,http://transamericanautoparts.local/category/atv-utv-snow-plows-and-accessories/,"ATV - UTV Snow Plows and Accessories",atv-utv-snow-plows-and-accessories,,309,"ATV Parts &amp; Accessories",atv-parts-accessories,0,,,,4wp-us-C66,"ATV Parts & Accessories",cat1450344,,,,,,,,,
47,http://transamericanautoparts.local/category/atv-body-armor/,"ATV Body Armor",atv-body-armor,,309,"ATV Parts &amp; Accessories",atv-parts-accessories,0,,,,4wp-us-C66,"ATV Parts & Accessories",cat1120244,,,,,,,,,
48,http://transamericanautoparts.local/category/atv-tires/,"ATV Tires",atv-tires,,309,"ATV Parts &amp; Accessories",atv-parts-accessories,0,,,,4wp-us-C66,"ATV Parts & Accessories",4wp-us-C78,,,,,,,,,
49,http://transamericanautoparts.local/category/atv-wheels/,"ATV Wheels",atv-wheels,,309,"ATV Parts &amp; Accessories",atv-parts-accessories,0,,,,4wp-us-C66,"ATV Parts & Accessories",cat1120264,,,,,,,,,
50,http://transamericanautoparts.local/category/replacement-fenders/,"Replacement Fenders",replacement-fenders,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC522,,,,,,,,,
51,http://transamericanautoparts.local/category/body-tub-parts/,"Body Tub Parts",body-tub-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC529,,,,,,,,,
52,http://transamericanautoparts.local/category/roll-cages-related-parts/,"Roll Cages &amp; Related Parts",roll-cages-related-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC493,,,,,,,,,
53,http://transamericanautoparts.local/category/hoods-grilles/,"Hoods &amp; Grilles",hoods-grilles,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC526,,,,,,,,,
54,http://transamericanautoparts.local/category/frames-related-parts/,"Frames &amp; Related Parts",frames-related-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC492,,,,,,,,,
55,http://transamericanautoparts.local/category/tailgate-parts/,"Tailgate Parts",tailgate-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC525,,,,,,,,,
56,http://transamericanautoparts.local/category/replacement-door-parts/,"Replacement Door Parts",replacement-door-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC516,,,,,,,,,
57,http://transamericanautoparts.local/category/liftgate-parts/,"Liftgate Parts",liftgate-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC524,,,,,,,,,
58,http://transamericanautoparts.local/category/windshield-parts/,"Windshield Parts",windshield-parts,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC523,,,,,,,,,
59,http://transamericanautoparts.local/category/body-tub-kits/,"Body Tub Kits",body-tub-kits,,310,"Body Parts, Roll Cages &amp; Frames",body-parts-roll-cages-frames,0,,,,4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC521,,,,,,,,,
60,http://transamericanautoparts.local/category/brake-lines-fittings/,"Brake Lines &amp; Fittings",brake-lines-fittings,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC22,,,,,,,,,
61,http://transamericanautoparts.local/category/performance-steering-upgrades/,"Performance Steering Upgrades",performance-steering-upgrades,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC430,,,,,,,,,
62,http://transamericanautoparts.local/category/drum-brake-kits-components/,"Drum Brake Kits &amp; Components",drum-brake-kits-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC542,,,,,,,,,
63,http://transamericanautoparts.local/category/hydraulic-steering/,"Hydraulic Steering",hydraulic-steering,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC547,,,,,,,,,
64,http://transamericanautoparts.local/category/replacement-steering-components/,"Replacement Steering Components",replacement-steering-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC510,,,,,,,,,
65,http://transamericanautoparts.local/category/disc-brake-kits-components/,"Disc Brake Kits &amp; Components",disc-brake-kits-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC541,,,,,,,,,
66,http://transamericanautoparts.local/category/brake-pedal-components/,"Brake Pedal Components",brake-pedal-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC394,,,,,,,,,
67,http://transamericanautoparts.local/category/parking-brake-kits-components/,"Parking Brake Kits &amp; Components",parking-brake-kits-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC540,,,,,,,,,
68,http://transamericanautoparts.local/category/abs-brake-components/,"ABS Brake Components",abs-brake-components,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC543,,,,,,,,,
69,http://transamericanautoparts.local/category/master-cylinder-power-brake-parts/,"Master Cylinder &amp; Power Brake Parts",master-cylinder-power-brake-parts,,311,"Brakes &amp; Steering",brakes-steering,0,,,,4wp-us-C65,"Brakes & Steering",4wp-us-SC544,,,,,,,,,
70,http://transamericanautoparts.local/category/bumpers/,Bumpers,bumpers,,312,"Bumpers, Tire Carriers &amp; Winch Mounts",bumpers-tire-carriers-winch-mounts,0,,,,4wp-us-C64,"Bumpers, Tire Carriers & Winch Mounts",cat1130347,,,,,,,,,
