"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Palette Name",Palettes,Testimonials,"Display Name","Long Description","Sales Description","Part Number","MFG Part Number",Brand,"Product Group ID","Display Price","Cart Price","Main Image LInk","Additional Images","Shipping Length","Shipping Width","Shipping Height","Shipping Weight",Show,"Long Description","Sales Description","Vehicle IDs","Part Qualifiers","Vehicle ID","Year ID","Make Name","Model Name","Submodel Name","Vehicle Type ID","Vehicle Type Name","Region ID","Region Name","Product Group ID","Product Group Name","Category ID","Category Name","Subcategory ID","Subcategory Name","Part Type ID","Part Type Name","SubPart ID","SupPart Name","Short Description (Top)","Long Description (Bottom)","Turn Off Subcategories/Products?","Category Image","Footer Logo","Contact Info","Copyright Info",Logo
22645,http://transamericanautoparts.local/product_category/wheels/,Wheels,wheels,100,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22646,http://transamericanautoparts.local/product_category/alloy-wheels/,"Alloy Wheels",alloy-wheels,101,22645,Wheels,wheels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22647,http://transamericanautoparts.local/product_category/steel-wheels/,"Steel Wheels",steel-wheels,102,22645,Wheels,wheels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22648,http://transamericanautoparts.local/product_category/lug-nuts/,"Lug Nuts",lug-nuts,103,22645,Wheels,wheels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22649,http://transamericanautoparts.local/product_category/wheel-spacers-caps/,"Wheel Spacers &amp; Caps",wheel-spacers-caps,104,22645,Wheels,wheels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22650,http://transamericanautoparts.local/product_category/wheel-accessories/,"Wheel Accessories",wheel-accessories,105,22645,Wheels,wheels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22651,http://transamericanautoparts.local/product_category/tires/,Tires,tires,200,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22652,http://transamericanautoparts.local/product_category/suspension/,Suspension,suspension,300,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22653,http://transamericanautoparts.local/product_category/lift-kits/,"Lift Kits",lift-kits,301,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22654,http://transamericanautoparts.local/product_category/shocks/,Shocks,shocks,302,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22655,http://transamericanautoparts.local/product_category/leveling-kits/,"Leveling Kits",leveling-kits,303,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22656,http://transamericanautoparts.local/product_category/steering-stablizers/,"Steering Stablizers",steering-stablizers,304,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22657,http://transamericanautoparts.local/product_category/leaf-springs/,"Leaf Springs",leaf-springs,305,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22658,http://transamericanautoparts.local/product_category/coil-springs/,"Coil Springs",coil-springs,306,22652,Suspension,suspension,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
