"Term ID","Term Name","Term Slug","Parent Slug"
12434,1999,1999,
12435,Suzuki,suzuki,1999
12436,"Grand Vitara",grand-vitara,suzuki
12438,1907,1907,
12439,1909,1909,
12440,1910,1910,
12441,1911,1911,
12442,1912,1912,
12443,1913,1913,
12444,1914,1914,
12445,1915,1915,
12446,1916,1916,
12447,1917,1917,
12448,1918,1918,
12449,1919,1919,
12450,1920,1920,
12451,1921,1921,
12452,1922,1922,
12453,1923,1923,
12454,1924,1924,
12455,1925,1925,
12456,1926,1926,
12457,1927,1927,
12458,1928,1928,
12459,1929,1929,
12460,1930,1930,
12461,1931,1931,
12462,1932,1932,
12463,1933,1933,
12464,1934,1934,
12465,1935,1935,
12466,1936,1936,
12467,1937,1937,
12468,1938,1938,
12469,1939,1939,
12470,1940,1940,
12471,1941,1941,
12472,1942,1942,
12473,1943,1943,
12474,1944,1944,
12475,1945,1945,
12476,1946,1946,
12477,1947,1947,
12478,1948,1948,
12479,1949,1949,
12480,1950,1950,
12481,1951,1951,
12482,1952,1952,
12483,1953,1953,
12484,1954,1954,
12485,1955,1955,
12486,1956,1956,
12487,1957,1957,
12488,1958,1958,
12489,1959,1959,
12490,1960,1960,
12491,1961,1961,
12492,1962,1962,
12493,1963,1963,
12494,1964,1964,
12495,1965,1965,
12496,1966,1966,
12497,1967,1967,
12498,1968,1968,
12499,1969,1969,
12500,1970,1970,
12501,1971,1971,
12502,1972,1972,
12503,1973,1973,
12504,1974,1974,
12505,1975,1975,
12506,1976,1976,
12507,1977,1977,
12508,1978,1978,
12509,1979,1979,
12510,1980,1980,
12511,1981,1981,
12512,1982,1982,
12513,1983,1983,
12514,1984,1984,
12515,1985,1985,
12516,1986,1986,
12517,1987,1987,
12518,1988,1988,
12519,1989,1989,
12520,1990,1990,
12521,1991,1991,
12522,1992,1992,
12523,1993,1993,
12524,1994,1994,
12525,1995,1995,
12526,1996,1996,
12527,1997,1997,
12528,1998,1998,
12529,2000,2000,
12530,2001,2001,
12531,2002,2002,
12532,2003,2003,
12533,2004,2004,
12534,2005,2005,
12535,2006,2006,
12536,2007,2007,
12537,2008,2008,
12538,2009,2009,
12539,2010,2010,
12540,2011,2011,
12541,2012,2012,
12542,2013,2013,
12543,2014,2014,
12544,2015,2015,
12545,2016,2016,
12546,2017,2017,
12547,2018,2018,
12548,2019,2019,
12549,2020,2020,
12550,2021,2021,
12551,2022,2022,
12552,Acura,2022-acura,2022
12553,"Aston Martin",2022-aston-martin,2022
12554,Audi,2022-audi,2022
12555,BMW,2022-bmw,2022
12556,Buick,2022-buick,2022
12557,Cadillac,2022-cadillac,2022
12558,Chevrolet,2022-chevrolet,2022
12559,Ford,2022-ford,2022
12560,Genesis,2022-genesis,2022
12561,GMC,2022-gmc,2022
12562,Honda,2022-honda,2022
12563,Hyundai,2022-hyundai,2022
12564,Jeep,2022-jeep,2022
