ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Product Categories",Status,Slug,Order,"Comment Status","Ping Status","Post Modified Date","Product Group ID","Product Group Name","Category ID","Category Name","Subcategory ID","Subcategory Name","Part Type ID","Part Type Name","SubPart ID","SupPart Name","Long Description","Sales Description","Product Categories"
21897,"Pro Comp T-Shirts",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-t-shirts/,,,,,,,,Accessories,publish,pro-comp-t-shirts,0,open,open,"2021-06-29 11:34:38",19371,"Pro Comp T-Shirts",4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC416,Apparel,4wp-us-14269,"T-Shirts and Tank Tops",,,"White;With Pro Comp Logo;Short Sleeve;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","White;With Pro Comp Logo;Short Sleeve",Accessories
21898,"Pro Comp Flex Fit Baseball Caps",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-flex-fit-baseball-caps/,,,,,,,,Accessories,publish,pro-comp-flex-fit-baseball-caps,0,open,open,"2021-06-29 11:24:39",prod880021,"Pro Comp Flex Fit Baseball Caps",4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC416,Apparel,4wp-us-14636,"Hats and Beanies",,,,,Accessories
21899,"Pro Comp Suspension Skid Plates",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-skid-plates/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-suspension-skid-plates,0,open,open,"2021-06-29 11:32:20",9498,"Pro Comp Suspension Skid Plates",4wp-us-C79,"Armor & Protection",4wp-us-SC467,"Skid Plates",,,,,"Jeep Skid Plates; Stainless Steel; For Use on K5079B Only; Not For Use As A Stand-Alone Skid Plate;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Made of thick stainless steel, this skid plate will protect vital suspension components.","Suspension>Suspension Accessories"
21900,"Pro Comp Roll Bar RAPZ",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-roll-bar-rapz/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-roll-bar-rapz,0,open,open,"2021-06-29 11:35:57",prod790079,"Pro Comp Roll Bar RAPZ",4wp-us-C81,"Body Parts, Roll Cages & Frames",4wp-us-SC493,"Roll Cages & Related Parts",4wp-us-15283,"Roll Bar Pads and Covers",,,"Pro Comp RAPZ are cool way to cover any 3 bar or square tubing;Velcro;Rap length 50""; Includes 2;Easy to install;Cut to length;Jet black;<b>California Residents: <a href=""/prop65"" target=""_blank"">WARNING</a></b>""",,"Suspension>Suspension Accessories"
21901,"Pro Comp Brake Hose Kits",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-brake-hose-kits/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-brake-hose-kits,0,open,open,"2021-06-29 11:32:10",9419,"Pro Comp Brake Hose Kits",4wp-us-C65,"Brakes & Steering",4wp-us-SC22,"Brake Lines & Fittings",4wp-us-1792,"Brake Hose",,,"Stainless Steel Braid;Sold As Single, Pair or Kit;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Designed to replace stock rubber brake hoses on vehicles with increased ride heights. Steel Braided lines will not swell under increased braking pressure demanded by larger tires thus delivering a quick and positive response. Hoses comply with D.O.T. specifications and are packaged as a complete kit.","Suspension>Suspension Accessories"
21902,"Pro Comp Pitman Arms",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-pitman-arms/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-pitman-arms,0,open,open,"2021-06-29 11:32:20",9455,"Pro Comp Pitman Arms",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",4wp-us-7368,"Pitman Arm",,,"Drop Pitman Arm;Powdercoat Black;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","When lifted, the drag link attachment point needs to be moved down to reduce link angle, creating the need for a drop pitman arm.; Pitman Arm; 4 in. Drop; Steering correction","Suspension>Suspension Accessories"
21903,"Pro Comp Suspension Steering Center Link Kit",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-steering-center-link-kit/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-suspension-steering-center-link-kit,0,open,open,"2021-06-29 11:27:28",9504,"Pro Comp Suspension Steering Center Link Kit",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",cat1440002,"Steering Upgrades and Drag Links",,,"Steering center link kit;For use with Pro Comp 6 lift kits only;4-6"" drop;Steering correction;<b>California Residents: <a href=""/prop65"" target=""_blank"">WARNING</a></b>""","When lifted, the drag link attachment point needs to be moved down to reduce link angle, creating the need for a drop drag link.","Suspension>Suspension Accessories"
21904,"Pro Comp Adjustable Drag Links",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-adjustable-drag-links/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-adjustable-drag-links,0,open,open,"2021-06-29 11:38:57",9323,"Pro Comp Adjustable Drag Links",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",cat1440002,"Steering Upgrades and Drag Links",,,"Drag Link;Fully Adjustable;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","When lifted, the drag link attachment point needs to be moved down to reduce link angle, creating the need for a drop drag link.; Drag Link; Adjustable; 4 in. - 6 in. Drop; Steering correction","Suspension>Suspension Accessories"
21905,"Pro Comp Steering Gearbox Braces",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-steering-gearbox-braces/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-steering-gearbox-braces,0,open,open,"2021-06-29 11:32:13",9478,"Pro Comp Steering Gearbox Braces",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",4wp-us-14113,"Steering Gear Box Braces",,,"Steering Box Brace;Reinforces steering box after adding larger wheels and tires;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Help support your Jeep steering box. A must have for the avid Jeeper. Easy installation, complete with instructions.","Suspension>Suspension Accessories"
21906,"Pro Comp Suspension Steering Center Hardware",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-steering-center-hardware/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-suspension-steering-center-hardware,0,open,open,"2021-06-29 11:27:28",9503,"Pro Comp Suspension Steering Center Hardware",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",cat1440002,"Steering Upgrades and Drag Links",,,"Steering Center Hardware; Center Link Parts Package;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","When lifted, the drag link attachment point needs to be moved down to reduce link angle, creating the need for a drop drag link.; Drag Link; Adjustable; 4 in. - 6 in. Drop; Steering correction","Suspension>Suspension Accessories"
