VEHICLEID,YEARID,MAKENAME,MODELNAME,SUBMODELNAME,VEHICLETYPEID,VEHICLETYPENAME,REGIONID,REGIONNAME,Name,hyphen,Slug,Parent,Category slug
31,1999,Suzuki,Grand Vitara,JS,6,Truck,1,United States,1999 Suzuki Grand Vitara JS,1999-Suzuki-Grand Vitara-JS,1999-suzuki-grand vitara-js,1999-Suzuki-Grand Vitara,1999-suzuki-grand vitara
32,1999,Suzuki,Grand Vitara,JS Plus,6,Truck,1,United States,1999 Suzuki Grand Vitara JS Plus,1999-Suzuki-Grand Vitara-JS Plus,1999-suzuki-grand vitara-js plus,1999-Suzuki-Grand Vitara,1999-suzuki-grand vitara
33,1999,Suzuki,Grand Vitara,JLX,6,Truck,1,United States,1999 Suzuki Grand Vitara JLX,1999-Suzuki-Grand Vitara-JLX,1999-suzuki-grand vitara-jlx,1999-Suzuki-Grand Vitara,1999-suzuki-grand vitara
34,1999,Suzuki,Grand Vitara,JLX Plus,6,Truck,1,United States,1999 Suzuki Grand Vitara JLX Plus,1999-Suzuki-Grand Vitara-JLX Plus,1999-suzuki-grand vitara-jlx plus,1999-Suzuki-Grand Vitara,1999-suzuki-grand vitara
35,2000,Suzuki,Grand Vitara,JLS,6,Truck,1,United States,2000 Suzuki Grand Vitara JLS,2000-Suzuki-Grand Vitara-JLS,2000-suzuki-grand vitara-jls,2000-Suzuki-Grand Vitara,2000-suzuki-grand vitara
36,2000,Suzuki,Grand Vitara,JLS Plus,6,Truck,1,United States,2000 Suzuki Grand Vitara JLS Plus,2000-Suzuki-Grand Vitara-JLS Plus,2000-suzuki-grand vitara-jls plus,2000-Suzuki-Grand Vitara,2000-suzuki-grand vitara
37,2000,Suzuki,Grand Vitara,JLX,6,Truck,1,United States,2000 Suzuki Grand Vitara JLX,2000-Suzuki-Grand Vitara-JLX,2000-suzuki-grand vitara-jlx,2000-Suzuki-Grand Vitara,2000-suzuki-grand vitara
38,2000,Suzuki,Grand Vitara,JLX Plus,6,Truck,1,United States,2000 Suzuki Grand Vitara JLX Plus,2000-Suzuki-Grand Vitara-JLX Plus,2000-suzuki-grand vitara-jlx plus,2000-Suzuki-Grand Vitara,2000-suzuki-grand vitara
39,2000,Suzuki,Grand Vitara,Limited,6,Truck,1,United States,2000 Suzuki Grand Vitara Limited,2000-Suzuki-Grand Vitara-Limited,2000-suzuki-grand vitara-limited,2000-Suzuki-Grand Vitara,2000-suzuki-grand vitara
40,2001,Suzuki,Grand Vitara,JLS,6,Truck,1,United States,2001 Suzuki Grand Vitara JLS,2001-Suzuki-Grand Vitara-JLS,2001-suzuki-grand vitara-jls,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
41,2001,Suzuki,Grand Vitara,JLS Plus,6,Truck,1,United States,2001 Suzuki Grand Vitara JLS Plus,2001-Suzuki-Grand Vitara-JLS Plus,2001-suzuki-grand vitara-jls plus,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
42,2001,Suzuki,Grand Vitara,JLS Plus SE,6,Truck,1,United States,2001 Suzuki Grand Vitara JLS Plus SE,2001-Suzuki-Grand Vitara-JLS Plus SE,2001-suzuki-grand vitara-jls plus se,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
43,2001,Suzuki,Grand Vitara,JLX,6,Truck,1,United States,2001 Suzuki Grand Vitara JLX,2001-Suzuki-Grand Vitara-JLX,2001-suzuki-grand vitara-jlx,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
44,2001,Suzuki,Grand Vitara,JLX Plus,6,Truck,1,United States,2001 Suzuki Grand Vitara JLX Plus,2001-Suzuki-Grand Vitara-JLX Plus,2001-suzuki-grand vitara-jlx plus,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
45,2001,Suzuki,Grand Vitara,JLX Plus SE,6,Truck,1,United States,2001 Suzuki Grand Vitara JLX Plus SE,2001-Suzuki-Grand Vitara-JLX Plus SE,2001-suzuki-grand vitara-jlx plus se,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
46,2001,Suzuki,Grand Vitara,Limited,6,Truck,1,United States,2001 Suzuki Grand Vitara Limited,2001-Suzuki-Grand Vitara-Limited,2001-suzuki-grand vitara-limited,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
47,2001,Suzuki,Grand Vitara,XL-7,6,Truck,1,United States,2001 Suzuki Grand Vitara XL-7,2001-Suzuki-Grand Vitara-XL-7,2001-suzuki-grand vitara-xl-7,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
48,2001,Suzuki,Grand Vitara,XL-7 Plus,6,Truck,1,United States,2001 Suzuki Grand Vitara XL-7 Plus,2001-Suzuki-Grand Vitara-XL-7 Plus,2001-suzuki-grand vitara-xl-7 plus,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
49,2001,Suzuki,Grand Vitara,XL-7 Touring,6,Truck,1,United States,2001 Suzuki Grand Vitara XL-7 Touring,2001-Suzuki-Grand Vitara-XL-7 Touring,2001-suzuki-grand vitara-xl-7 touring,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
50,2001,Suzuki,Grand Vitara,XL-7 Limited,6,Truck,1,United States,2001 Suzuki Grand Vitara XL-7 Limited,2001-Suzuki-Grand Vitara-XL-7 Limited,2001-suzuki-grand vitara-xl-7 limited,2001-Suzuki-Grand Vitara,2001-suzuki-grand vitara
51,2002,Suzuki,Grand Vitara,JLS,6,Truck,1,United States,2002 Suzuki Grand Vitara JLS,2002-Suzuki-Grand Vitara-JLS,2002-suzuki-grand vitara-jls,2002-Suzuki-Grand Vitara,2002-suzuki-grand vitara
52,2002,Suzuki,Grand Vitara,JLX,6,Truck,1,United States,2002 Suzuki Grand Vitara JLX,2002-Suzuki-Grand Vitara-JLX,2002-suzuki-grand vitara-jlx,2002-Suzuki-Grand Vitara,2002-suzuki-grand vitara
53,2002,Suzuki,Grand Vitara,Limited,6,Truck,1,United States,2002 Suzuki Grand Vitara Limited,2002-Suzuki-Grand Vitara-Limited,2002-suzuki-grand vitara-limited,2002-Suzuki-Grand Vitara,2002-suzuki-grand vitara
54,2003,Suzuki,Grand Vitara,Base,6,Truck,1,United States,2003 Suzuki Grand Vitara Base,2003-Suzuki-Grand Vitara-Base,2003-suzuki-grand vitara-base,2003-Suzuki-Grand Vitara,2003-suzuki-grand vitara
55,1986,Suzuki,Samurai,JA,6,Truck,1,United States,1986 Suzuki Samurai JA,1986-Suzuki-Samurai-JA,1986-suzuki-samurai-ja,1986-Suzuki-Samurai,1986-suzuki-samurai
56,1986,Suzuki,Samurai,JX,6,Truck,1,United States,1986 Suzuki Samurai JX,1986-Suzuki-Samurai-JX,1986-suzuki-samurai-jx,1986-Suzuki-Samurai,1986-suzuki-samurai
57,1986,Suzuki,Samurai,JX SE,6,Truck,1,United States,1986 Suzuki Samurai JX SE,1986-Suzuki-Samurai-JX SE,1986-suzuki-samurai-jx se,1986-Suzuki-Samurai,1986-suzuki-samurai
58,1987,Suzuki,Samurai,JA,6,Truck,1,United States,1987 Suzuki Samurai JA,1987-Suzuki-Samurai-JA,1987-suzuki-samurai-ja,1987-Suzuki-Samurai,1987-suzuki-samurai
59,1987,Suzuki,Samurai,JX,6,Truck,1,United States,1987 Suzuki Samurai JX,1987-Suzuki-Samurai-JX,1987-suzuki-samurai-jx,1987-Suzuki-Samurai,1987-suzuki-samurai
60,1987,Suzuki,Samurai,JX SE,6,Truck,1,United States,1987 Suzuki Samurai JX SE,1987-Suzuki-Samurai-JX SE,1987-suzuki-samurai-jx se,1987-Suzuki-Samurai,1987-suzuki-samurai
61,1988,Suzuki,Samurai,JA,6,Truck,1,United States,1988 Suzuki Samurai JA,1988-Suzuki-Samurai-JA,1988-suzuki-samurai-ja,1988-Suzuki-Samurai,1988-suzuki-samurai
62,1988,Suzuki,Samurai,JX,6,Truck,1,United States,1988 Suzuki Samurai JX,1988-Suzuki-Samurai-JX,1988-suzuki-samurai-jx,1988-Suzuki-Samurai,1988-suzuki-samurai
63,1989,Suzuki,Samurai,Base,6,Truck,1,United States,1989 Suzuki Samurai Base,1989-Suzuki-Samurai-Base,1989-suzuki-samurai-base,1989-Suzuki-Samurai,1989-suzuki-samurai
64,1990,Suzuki,Samurai,JL,6,Truck,1,United States,1990 Suzuki Samurai JL,1990-Suzuki-Samurai-JL,1990-suzuki-samurai-jl,1990-Suzuki-Samurai,1990-suzuki-samurai
65,1991,Suzuki,Samurai,JA,6,Truck,1,United States,1991 Suzuki Samurai JA,1991-Suzuki-Samurai-JA,1991-suzuki-samurai-ja,1991-Suzuki-Samurai,1991-suzuki-samurai
66,1991,Suzuki,Samurai,JL,6,Truck,1,United States,1991 Suzuki Samurai JL,1991-Suzuki-Samurai-JL,1991-suzuki-samurai-jl,1991-Suzuki-Samurai,1991-suzuki-samurai
67,1991,Suzuki,Samurai,JS,6,Truck,1,United States,1991 Suzuki Samurai JS,1991-Suzuki-Samurai-JS,1991-suzuki-samurai-js,1991-Suzuki-Samurai,1991-suzuki-samurai
68,1992,Suzuki,Samurai,JA,6,Truck,1,United States,1992 Suzuki Samurai JA,1992-Suzuki-Samurai-JA,1992-suzuki-samurai-ja,1992-Suzuki-Samurai,1992-suzuki-samurai
70,1993,Suzuki,Samurai,JA,6,Truck,1,United States,1993 Suzuki Samurai JA,1993-Suzuki-Samurai-JA,1993-suzuki-samurai-ja,1993-Suzuki-Samurai,1993-suzuki-samurai
72,1994,Suzuki,Samurai,JL,6,Truck,1,United States,1994 Suzuki Samurai JL,1994-Suzuki-Samurai-JL,1994-suzuki-samurai-jl,1994-Suzuki-Samurai,1994-suzuki-samurai
73,1995,Suzuki,Samurai,JL,6,Truck,1,United States,1995 Suzuki Samurai JL,1995-Suzuki-Samurai-JL,1995-suzuki-samurai-jl,1995-Suzuki-Samurai,1995-suzuki-samurai
74,1989,Suzuki,Sidekick,JA,6,Truck,1,United States,1989 Suzuki Sidekick JA,1989-Suzuki-Sidekick-JA,1989-suzuki-sidekick-ja,1989-Suzuki-Sidekick,1989-suzuki-sidekick
75,1989,Suzuki,Sidekick,JX,6,Truck,1,United States,1989 Suzuki Sidekick JX,1989-Suzuki-Sidekick-JX,1989-suzuki-sidekick-jx,1989-Suzuki-Sidekick,1989-suzuki-sidekick
76,1989,Suzuki,Sidekick,JLX,6,Truck,1,United States,1989 Suzuki Sidekick JLX,1989-Suzuki-Sidekick-JLX,1989-suzuki-sidekick-jlx,1989-Suzuki-Sidekick,1989-suzuki-sidekick
77,1990,Suzuki,Sidekick,JLX,6,Truck,1,United States,1990 Suzuki Sidekick JLX,1990-Suzuki-Sidekick-JLX,1990-suzuki-sidekick-jlx,1990-Suzuki-Sidekick,1990-suzuki-sidekick
78,1990,Suzuki,Sidekick,JS,6,Truck,1,United States,1990 Suzuki Sidekick JS,1990-Suzuki-Sidekick-JS,1990-suzuki-sidekick-js,1990-Suzuki-Sidekick,1990-suzuki-sidekick
79,1990,Suzuki,Sidekick,JX,6,Truck,1,United States,1990 Suzuki Sidekick JX,1990-Suzuki-Sidekick-JX,1990-suzuki-sidekick-jx,1990-Suzuki-Sidekick,1990-suzuki-sidekick
80,1991,Suzuki,Sidekick,JL,6,Truck,1,United States,1991 Suzuki Sidekick JL,1991-Suzuki-Sidekick-JL,1991-suzuki-sidekick-jl,1991-Suzuki-Sidekick,1991-suzuki-sidekick
81,1991,Suzuki,Sidekick,JLX,6,Truck,1,United States,1991 Suzuki Sidekick JLX,1991-Suzuki-Sidekick-JLX,1991-suzuki-sidekick-jlx,1991-Suzuki-Sidekick,1991-suzuki-sidekick
82,1991,Suzuki,Sidekick,JS,6,Truck,1,United States,1991 Suzuki Sidekick JS,1991-Suzuki-Sidekick-JS,1991-suzuki-sidekick-js,1991-Suzuki-Sidekick,1991-suzuki-sidekick
83,1991,Suzuki,Sidekick,JX,6,Truck,1,United States,1991 Suzuki Sidekick JX,1991-Suzuki-Sidekick-JX,1991-suzuki-sidekick-jx,1991-Suzuki-Sidekick,1991-suzuki-sidekick
84,1992,Suzuki,Sidekick,JLX,6,Truck,1,United States,1992 Suzuki Sidekick JLX,1992-Suzuki-Sidekick-JLX,1992-suzuki-sidekick-jlx,1992-Suzuki-Sidekick,1992-suzuki-sidekick
85,1992,Suzuki,Sidekick,JS,6,Truck,1,United States,1992 Suzuki Sidekick JS,1992-Suzuki-Sidekick-JS,1992-suzuki-sidekick-js,1992-Suzuki-Sidekick,1992-suzuki-sidekick
86,1992,Suzuki,Sidekick,JX,6,Truck,1,United States,1992 Suzuki Sidekick JX,1992-Suzuki-Sidekick-JX,1992-suzuki-sidekick-jx,1992-Suzuki-Sidekick,1992-suzuki-sidekick
87,1993,Suzuki,Sidekick,JLX,6,Truck,1,United States,1993 Suzuki Sidekick JLX,1993-Suzuki-Sidekick-JLX,1993-suzuki-sidekick-jlx,1993-Suzuki-Sidekick,1993-suzuki-sidekick
88,1993,Suzuki,Sidekick,JS,6,Truck,1,United States,1993 Suzuki Sidekick JS,1993-Suzuki-Sidekick-JS,1993-suzuki-sidekick-js,1993-Suzuki-Sidekick,1993-suzuki-sidekick
89,1993,Suzuki,Sidekick,JX,6,Truck,1,United States,1993 Suzuki Sidekick JX,1993-Suzuki-Sidekick-JX,1993-suzuki-sidekick-jx,1993-Suzuki-Sidekick,1993-suzuki-sidekick
90,1994,Suzuki,Sidekick,JLX,6,Truck,1,United States,1994 Suzuki Sidekick JLX,1994-Suzuki-Sidekick-JLX,1994-suzuki-sidekick-jlx,1994-Suzuki-Sidekick,1994-suzuki-sidekick
91,1994,Suzuki,Sidekick,JS,6,Truck,1,United States,1994 Suzuki Sidekick JS,1994-Suzuki-Sidekick-JS,1994-suzuki-sidekick-js,1994-Suzuki-Sidekick,1994-suzuki-sidekick
92,1994,Suzuki,Sidekick,JX,6,Truck,1,United States,1994 Suzuki Sidekick JX,1994-Suzuki-Sidekick-JX,1994-suzuki-sidekick-jx,1994-Suzuki-Sidekick,1994-suzuki-sidekick
93,1995,Suzuki,Sidekick,JLX,6,Truck,1,United States,1995 Suzuki Sidekick JLX,1995-Suzuki-Sidekick-JLX,1995-suzuki-sidekick-jlx,1995-Suzuki-Sidekick,1995-suzuki-sidekick
94,1995,Suzuki,Sidekick,JS,6,Truck,1,United States,1995 Suzuki Sidekick JS,1995-Suzuki-Sidekick-JS,1995-suzuki-sidekick-js,1995-Suzuki-Sidekick,1995-suzuki-sidekick
95,1995,Suzuki,Sidekick,JX,6,Truck,1,United States,1995 Suzuki Sidekick JX,1995-Suzuki-Sidekick-JX,1995-suzuki-sidekick-jx,1995-Suzuki-Sidekick,1995-suzuki-sidekick
96,1996,Suzuki,Sidekick,JS,6,Truck,1,United States,1996 Suzuki Sidekick JS,1996-Suzuki-Sidekick-JS,1996-suzuki-sidekick-js,1996-Suzuki-Sidekick,1996-suzuki-sidekick
97,1996,Suzuki,Sidekick,JX,6,Truck,1,United States,1996 Suzuki Sidekick JX,1996-Suzuki-Sidekick-JX,1996-suzuki-sidekick-jx,1996-Suzuki-Sidekick,1996-suzuki-sidekick
98,1996,Suzuki,Sidekick,JX Sport,6,Truck,1,United States,1996 Suzuki Sidekick JX Sport,1996-Suzuki-Sidekick-JX Sport,1996-suzuki-sidekick-jx sport,1996-Suzuki-Sidekick,1996-suzuki-sidekick
99,1996,Suzuki,Sidekick,JLX Sport,6,Truck,1,United States,1996 Suzuki Sidekick JLX Sport,1996-Suzuki-Sidekick-JLX Sport,1996-suzuki-sidekick-jlx sport,1996-Suzuki-Sidekick,1996-suzuki-sidekick
100,1997,Suzuki,Sidekick,JS,6,Truck,1,United States,1997 Suzuki Sidekick JS,1997-Suzuki-Sidekick-JS,1997-suzuki-sidekick-js,1997-Suzuki-Sidekick,1997-suzuki-sidekick
101,1997,Suzuki,Sidekick,JX,6,Truck,1,United States,1997 Suzuki Sidekick JX,1997-Suzuki-Sidekick-JX,1997-suzuki-sidekick-jx,1997-Suzuki-Sidekick,1997-suzuki-sidekick
102,1997,Suzuki,Sidekick,JX Sport,6,Truck,1,United States,1997 Suzuki Sidekick JX Sport,1997-Suzuki-Sidekick-JX Sport,1997-suzuki-sidekick-jx sport,1997-Suzuki-Sidekick,1997-suzuki-sidekick
103,1997,Suzuki,Sidekick,JLX Sport,6,Truck,1,United States,1997 Suzuki Sidekick JLX Sport,1997-Suzuki-Sidekick-JLX Sport,1997-suzuki-sidekick-jlx sport,1997-Suzuki-Sidekick,1997-suzuki-sidekick
104,1998,Suzuki,Sidekick,JS,6,Truck,1,United States,1998 Suzuki Sidekick JS,1998-Suzuki-Sidekick-JS,1998-suzuki-sidekick-js,1998-Suzuki-Sidekick,1998-suzuki-sidekick
