PRODUCT_GROUP_ID,PRODUCT_GROUP_NAME,CATEGORY_ID,CATEGORY_NAME,SUBCATEGORY_ID,SUBCATEGORY_NAME,PARTTYPE_ID,PARTTYPE_NAME,Pro Comp Category,Pro Comp Subcategory,Pro Comp Subcategory 2,Pro Comp Subcategory 3
19371,Pro Comp T-Shirts,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC416,Apparel,4wp-us-14269,T-Shirts and Tank Tops,Accessories,Apparel,,
prod880021,Pro Comp Flex Fit Baseball Caps,4wp-us-C85,"Apparel, Books & DVDs",4wp-us-SC416,Apparel,4wp-us-14636,Hats and Beanies,Accessories,Apparel,,
prod1530027,Pro Comp LED Motorsports Lights,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1850001,Driving Lights,Lights,Driving Lights,,
prod3670001,Pro Comp LED Fog Lights,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1850002,Fog Lights,Lights,Fog Lights,,
9491,Pro Comp Suspension Replacement Cover,4wp-us-C14,Lighting & Lighting Accessories,4wp-us-SC69,Lighting Accessories,4wp-us-1052,Lens Covers and Shields,Lights,Headlights & Conversions,,
19486,Pro Comp Suspension Tail Light LED Mount Bracket,4wp-us-C14,Lighting & Lighting Accessories,4wp-us-SC67,"Replacement Headlights, Tail Lights & Bulbs",cat1440392,Tail & Brake Lights,Lights,Headlights & Conversions,,
9324,Pro Comp LED Headlights,4wp-us-C14,Lighting & Lighting Accessories,4wp-us-SC67,"Replacement Headlights, Tail Lights & Bulbs",cat1440390,"Headlights, Housings and Conversions",Lights,Headlights & Conversions,,
9350,Pro Comp Light Mounting Bars,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1860001,Light Bars,Lights,LED Light Bars,,
9338,Pro Comp LED Light Bars,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1860001,Light Bars,Lights,LED Light Bars,,
9437,Pro Comp Fog Light Mount Kits,4wp-us-C14,Lighting & Lighting Accessories,cat1120289,Light Mounting Brackets & Cradles,cat2110005,Fog Light Mounts,Lights,LED Light Cubes,,
9444,Pro Comp Roof Light Mounts,4wp-us-C14,Lighting & Lighting Accessories,cat1120289,Light Mounting Brackets & Cradles,cat2110003,Roof and Windshield Lighting Mounts,Lights,LED Light Cubes,,
prod1460004,Pro Comp LED Light Pods,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1850005,Light Pods,Lights,LED Light Cubes,,
9352,Pro Comp Explorer Driving Lights,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1850001,Driving Lights,Lights,LED Light Cubes,,
9507,Pro Comp Light Switch Kits,4wp-us-C14,Lighting & Lighting Accessories,4wp-us-SC69,Lighting Accessories,cat1450030,Fog/Driving Light Wiring Kit,Lights,Light Wiring Kits,,
prod1530029,Pro Comp Rock Lights,4wp-us-C14,Lighting & Lighting Accessories,cat1120283,"Offroad Racing, Fog & Driving Lights",cat1860002,Offroad Auxiliary Lights,Lights,Rock Lights,,
9322,Pro Comp Degree Shims,4wp-us-C12,Drivetrain & Differential,4wp-us-SC514,OEM Replacement Axle Parts,4wp-us-14616,Axle Shims,Suspension,Drive Shafts & Components,,
9454,Pro Comp Tail Shaft Conversion Kits,4wp-us-C12,Drivetrain & Differential,4wp-us-SC512,Transfer Case Upgrades & Crawl Boxes,4wp-us-14118,Transfer Case Slip Yoke Eliminator Kits and Hardware,Suspension,Drive Shafts & Components,,
prod1690003,Pro Comp 4 Link Conversion Kits,cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,Suspension Accessories,cat1450067,Axle Truss Bolt-On,Suspension,Drive Shafts & Components,,
9512,Pro Comp Suspension U-Bolts,cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,Suspension Accessories,4wp-us-18796,Axle U-Bolt,Suspension,Drive Shafts & Components,,
9487,Pro Comp U-Bolt Kits,cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,Suspension Accessories,4wp-us-7452,Axle U-Bolt Kit,Suspension,Drive Shafts & Components,,
9420,Pro Comp Carrier Bearing Drop Brackets,4wp-us-C12,Drivetrain & Differential,4wp-us-SC515,Drive Shafts & Drive Shaft Components,4wp-us-14620,Drive Shaft Shim Kit,Suspension,Drive Shafts & Components,,
9428,Pro Comp CV-Style Drive Shafts,4wp-us-C12,Drivetrain & Differential,4wp-us-SC515,Drive Shafts & Drive Shaft Components,4wp-us-2308,Drive Shafts,Suspension,Drive Shafts & Components,,
9452,Pro Comp Drive Shafts,4wp-us-C12,Drivetrain & Differential,4wp-us-SC515,Drive Shafts & Drive Shaft Components,4wp-us-2308,Drive Shafts,Suspension,Drive Shafts & Components,,
9439,Pro Comp Suspension Front Drive Shaft Upgrade Kits,4wp-us-C12,Drivetrain & Differential,4wp-us-SC515,Drive Shafts & Drive Shaft Components,4wp-us-2308,Drive Shafts,Suspension,Drive Shafts & Components,,
9342,Pro Comp Level Lift Strut Extensions,cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC358,Leveling Kits,4wp-us-10940,Strut Spacers,Suspension,Leveling Kits,,
