Term Name,Parent Name,Parent Slug,Count,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,category_id,_category_id,Product Group ID,Product Group Name,Category Name,Subcategory ID,Subcategory Name,Part Type ID,Part Type Name,SubPart ID,SupPart Name,Short Description (Top),Long Description (Bottom)
Uncategorized,,,1,,,,,,,,,,,,,,,,,,,,,,
Suspension,,,1,,,,,,,,,,,field_60b0b2ab479a7,,,,,,,,,,,
Lift Kits,Suspension,suspension,1,,,,,,,,,,,field_60b0b2ab479a7,,,,,,,,,,,
Air Tank,"Air Compressors, Air Tanks & Air Accessories",,,,,,,,,,,,4wp-us-C89,,,,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC567,,,,,,,
Compressed Air Tank Accessories,"Air Compressors, Air Tanks & Air Accessories",,,,,,,,,,,,4wp-us-C89,,,,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC569,,,,,,,
Air Compressors,"Air Compressors, Air Tanks & Air Accessories",,,,,,,,,,,,4wp-us-C89,,,,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC566,,,,,,,
Air Compressor Accessories,"Air Compressors, Air Tanks & Air Accessories",,,,,,,,,,,,4wp-us-C89,,,,"Air Compressors, Air Tanks & Air Accessories",4wp-us-SC568,,,,,,,
Accessories,"Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-SC507,,,,,,,
Apparel,"Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-SC416,,,,,,,
Gift Cards and Instant Gift Certificates,"Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-SC191,,,,,,,
"Books, Manuals and Calendars","Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-SC434,,,,,,,
Off Road DVDs & Videos,"Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-14519,,,,,,,
RC Trucks & Collectibles,"Apparel, Books & DVDs",,,,,,,,,,,,4wp-us-C85,,,,"Apparel, Books & DVDs",4wp-us-14594,,,,,,,
Skid Plates,Armor & Protection,,,,,,,,,,,,4wp-us-C79,,,,Armor & Protection,4wp-us-SC467,,,,,,,
Rock Sliders and Guards,Armor & Protection,,,,,,,,,,,,4wp-us-C79,,,,Armor & Protection,4wp-us-SC466,,,,,,,
Body Protection,Armor & Protection,,,,,,,,,,,,4wp-us-C79,,,,Armor & Protection,4wp-us-SC468,,,,,,,
ATV - UTV Snow Plows and Accessories,ATV Parts & Accessories,,,,,,,,,,,,4wp-us-C66,,,,ATV Parts & Accessories,cat1450344,,,,,,,
ATV Body Armor,ATV Parts & Accessories,,,,,,,,,,,,4wp-us-C66,,,,ATV Parts & Accessories,cat1120244,,,,,,,
ATV Tires,ATV Parts & Accessories,,,,,,,,,,,,4wp-us-C66,,,,ATV Parts & Accessories,4wp-us-C78,,,,,,,
ATV Wheels,ATV Parts & Accessories,,,,,,,,,,,,4wp-us-C66,,,,ATV Parts & Accessories,cat1120264,,,,,,,
Replacement Fenders,"Body Parts, Roll Cages & Frames",,,,,,,,,,,,4wp-us-C81,,,,"Body Parts, Roll Cages & Frames",4wp-us-SC522,,,,,,,
Body Tub Parts,"Body Parts, Roll Cages & Frames",,,,,,,,,,,,4wp-us-C81,,,,"Body Parts, Roll Cages & Frames",4wp-us-SC529,,,,,,,
Roll Cages & Related Parts,"Body Parts, Roll Cages & Frames",,,,,,,,,,,,4wp-us-C81,,,,"Body Parts, Roll Cages & Frames",4wp-us-SC493,,,,,,,
Hoods & Grilles,"Body Parts, Roll Cages & Frames",,,,,,,,,,,,4wp-us-C81,,,,"Body Parts, Roll Cages & Frames",4wp-us-SC526,,,,,,,
